	sentence_1	sentences_2	similarity
0	Letadlo Boeing havarovalo v Rusku, 50 mrtvých.	Letadlo Boeing havarovalo v ruském městě Kazaň, 50 mrtvých.	3.8
1	Šokující tah, Obama odložil útok na Sýrii.	Obama odložil útok na Sýrii.	4.6
2	Japonský PM rozpouští sněmovnu pro volby	Írán a světové mocnosti jsou připravení vést jaderné rozhovory	0.0
3	Palestinský diplomat zraněn při výbuchu v Praze	Palestinský velvyslanec zraněn při výbuchu apartmánu	4.0
4	Libanonská obchodní stávka na protest na politické slepé uličky.	Tuniský prezident říká, sebejistota může přejít v politickou krizi.	0.6
5	Francie varuje před extrémisty benefitujícími z Egyptského násilí	Francie straší, že extrémisté mohou těžit z Egyptského násilí	4.4
6	Putin vyhrál ruské prezidentské volby	V ruských prezidentských volbách začíná hlasování	1.0
7	Zemětřesení o síle 6.8 stupňů zasáhlo Šalamounovo ostrovy.	Rozsáhlé zemětřesení o síle 6.3 zasáhlo Šalamounovo ostrovy: USGS.	3.2
8	Zimmerman zastaven za překročení rychlosti v Texasu, propuštěn s varováním.	Zimmerman zastavil v Texasu, kvůli rychlé jízdě, dostal varování.	5.0
9	Bývalý důstojník LAPD hledán kvůli Irvine vraždám.	Bývalý důstojník CIA odsouzen k 30 měsícům vězení za úniku informací.	0.0
10	Sedm světových pohárů v rámci Keňské Äôs	Střed zájmů v otevřeném soudním řízení o smrti mladého muže v Äôs	0.0
11	Svět posílá humanitární pomoc poničeným Filipínám	Tajfun Haiyan: Svět posílá pomoc na poničené Filipíny	5.0
12	Prezident Malediv odstupuje po policejní vzpouře, protestestech	Prezident Malediv odstupuje po týdnech protestů	3.4
13	Filipíny zadržely druhého senátora kvůli korupci.	Filipíny se vzpamatovávají po silném tajfunu.	1.4
14	Britský teenager zabit pádem z hotelu v Magaluf.	Britský teenager zabit pádem v magalufském hotelu.	5.0
15	Egyptský soud zvažuje propuštění Mubaraka.	Egyptský soud nařídil propustit Mubaraka.	3.4
16	Čínské akcie pomalu rostou po ekonomické schůzce.	Čínské akcie pomalu porostou ve středu.	3.4
17	Zemětřesení o velikosti 6,3 zasáhlo Taiwan.	Zemětřesení o velikosti 7,7 zasáhlo Pákistán.	1.2
18	Americká vojenská přítomnost ve východní Asii	Vojenská přítomnost NATO uprostřed ruské hrozby	1.2
19	Sýrští rebelové přesunují velení od Turecka do Sýrie	Volná syrská armáda přesunuje velitelství z Turecka do Sýrie	3.8
20	"""Zatykač"" na Maledivského ex-prezidenta"	Maledivy vydaly zatykač na bývalého prezidenta	4.5
21	Arméni volili v parlamentních volbách	Arménské parlamentní hlasování, test pro prezidenta	3.2
22	Fotbalový rozhodčí napadený hráčem umírá.	Policie: Utažský fotbalový rozhodčí napadený hráčem umírá.	4.2
23	Může USA věřit Sýrii, v předání chemických zbraní?	USA říká, že Sýrie může použít plyn sarin v chemických zbraních.	1.0
24	Zemětřesení o velikosti 6.2 otřásá Sarangani.	Zemětřesení o velikosti 4.3 otřásá jihozápadní Čínou.	2.0
25	2 zabití, 11 zraněných při útocích v Iráku.	15 zabito, 90 zraněno při nedávných útocích v Iráku.	2.2
26	Bombardování, střety v Sýrii pokračují	Bombové útoky, střety zatímco Syrská opozice žádá zbraně	3.4
27	Palestinští vězni přijeli na Muqatu v Ramallah.	Pákistánští vězni napadeni ve vězení v Jammu.	1.0
28	Tajwanská ekonomika vzrostla o 2.27% během druhého čtvrtletí.	Růst Čínské ekonomiky se zastavil na 7.8% za poslední čtvrtletí.	1.0
29	Indonéské protiteroristické komando zabilo dva podezřelé ozbrojence	Indonéská policie zastřelila podezřelé militanty na Bali	3.2
30	Čínská vláda slibuje zlepšení ekonomiky	Čínský premiér Wen slibuje vytváření pracovních míst	3.2
31	Počet obětí letecké havárie v Rusku stoupá.	Počet obětí autobusové nehody v Itálii se vyšplhal na 39 obětí.	0.0
32	Brahimi se omlouvá Sýrii nad nedostatkem progresu ohledně míru.	Prostředník se omlouvá Sýrii za nedostatek progresu ohledně míru.	3.8
33	Útoky Talibanu zabili v Afghánistánu 17 civilistů.	Při sérii útoků v Afghánistánu zemřelo 10 policistů.	1.4
34	Akcie rostly brzy po řecké dohodě, poté se růst zastavil	Akcie se zvýšily po řecké dohodě	3.6
35	Nejstarší muž na světě umřel ve 116.	Japonsko: nejstarší muž na světě umřel ve věku 116 let.	4.6
36	US rozpoznává syrskou opozici.	Rusko pozvalo syrskou opozici na diskuzi.	2.0
37	Nadal vynechá Australian Open, kvůli nemocnému žaludku.	Rafael Nadal bude chybět na Australian Open.	3.4
38	Královna Beatrix z Nizozemska odstupuje kvůli synovi.	Královna Beatrix z Nizozemska odstupuje ve prospěch syna.	5.0
39	100 zabito v novém Dárfúru při kmenových střetech.	"""9 mrtvých"" v novém Dárfúru při kmenových střetech."	2.8
40	Egypt vyzývá k více protestům.	Počet obětí z Egyptských protestů vzrostl na 49.	1.4
41	Íránský prezident odsuzuje použití chemických zbraní v Sýrii.	Vyšetřování údajného použití chemických zbraní v Sýrii.	1.6
42	Sandy udeřil ze severo-východu, nejméně 18 mrtvých, 7,4 milionu bez proudu	Bouře na východě Spojených států zanechaly 2 mrtvé ve Va., 2 miliony bez proudu	2.6
43	Německý vyslanec je optimistický ohledně rozhovorů Íránu a G5	írán ‚opatrně optimistický‘ ohledně budoucích jaderných rozhovorů	1.4
44	Čínský prezident se setká s řeckým premiérem, výzva k silnějšímu partnerství	Čínský prezident se setká s indickým víceprezidentem	1.8
45	Indické akcie otevírají rovné.	Indické akcie otevírají nízko.	3.6
46	USA vyloučila Venezuelské diplomaty v řadě.	USA vyloučila Venezuelské diplomaty.	4.4
47	Vůdce Ukrajiny slibuje krizové rozhovory	Vůdce Ukrajiny slibuje krizové rozhovory	5.0
48	Green Lantern se znovu představuje jako homosexuál v DC komiksech	Green Lantern se znovu objevuje jako homosexuální superhrdina	4.0
49	BBC veterán Hall přiznává sexuální zneužívání dětí.	Stuart Hall přiznává sexuální útoky na děti.	3.4
50	Muž byl obviněn poté co byl MP zraněn při útoku	Muž obviněn z vraždy v bytě	1.4
51	Dva stopaři Santy soupeři letošní Vánoce.	Španělsko vrací hodiny zpět na siestu.	0.0
52	3 mrtví, 1 zraněný při střelbě v přímořském motelu v Jižní Karolíně	4 mrtví, 30 zraněných při železniční nehodě blízko Moskvy	0.2
53	USA, Čína selhaly v nápravě vazeb.	Čína: pokles v nasazení, jak se víra k nalezení po pohřešovaných se rozplývá.	0.4
54	Izraelští velvyslanci předvoláni kvůli plánům na dohodu.	Británie předvolala izraelského velvyslance kvůli dohodě.	2.5
55	Zřícení budovy v Bangladéši má na svědomí 362 mrtvých.	Počet obětí stavebního kolapsu budovy v Bangladéši stoupá na 580 mrtvých.	3.6
56	Snowden 'získán uprchlický doklad od Ecuadoru'.	Snowden připraven odletět z Moskvy.	1.2
57	US skládá bomby na velký bariérový útes.	US vojsko torpéduje bomby blízko australského velkého bariérového útesu	3.8
58	Čínský akciový index v budoucnu poroste - 4. prosince.	Čínský akciový index v budoucnu klesne - 24. ledna.	2.2
59	Britský náctiletý byl zabit pádem z hotelu Magaluf	 Britský náctiletý byl zabit při pádu z hotelu Magaluf	5.0
60	2 mrtví, 2 zranění po střelbě v Nevadě na střední škole.	Nevada: 2 mrtví, 2 zranění po střelbě na střední škole.	5.0
61	Obama se setká s rodinou Mandely.	Obama se setká se Zumou a vzdá hold Mandelovi.	3.0
62	18 lidí uvězněno po výbuchu v ruském uhelném dolu.	Výbuch zabil deset lidí v ruském uhelném dolu.	2.8
63	SC odmítá žádost vlády o přezkum případu daňového poplatku u Vodafone	SC odmítá návrh na petici k verdiktu o daňových poplatcích Vodafone	4.4
64	Pákistánská letadla bombardují 'úkryty Talibánu'.	Pákistán požaduje zastavení dodávání vojenských zásob Sýrii.	1.6
65	Weiner zůstane v úřadě starosty NYC po přiznání nového skandálu se sextingem.	Weiner mávnul rukou nad posledním skandálem online sexu.	3.0
66	Bombové útoky zabili 53 lidí v Damašku.	Bombové útoky zabili 13 civilistů v irácké metropoli.	1.4
