id	sentence_1	sentence_2	similarity
0	لكن مصادر أخرى مقربة من  المزاد قالت  بأن فيفندي قد أبقى الباب مفتوحا لمزيد من العروض في اليوم أو اليومين التاليين .	لكن مصادر أخرى مقربة من المزاد قالت  بأن فيفندي قد أبقى  الباب مفتوحا أمام المزيد من العروض وتأمل أن يرى مقدمي العروض المهتمين في الأصول الفردية كفريق واحد.	4.0
1	ستكون الترقية متاحة للتنزيل مجانا للعملاء الحاليين بدعم من شبكة سمارت في شهر ينايرمن عام 2004.	سيكون الدعم بمثابة ترقية للبرمجيات الحرة التي تسمى WebVPN وذلك للعملاء الحاليين الذين لديهم عقود  دعم .	2.6
2	"""لم يصرح مسؤولون أمريكيون عما إذا كانت القوات الأمريكية، التي تعمل لصالح المخابرات، قد عبرت الحدود الى الأراضي السورية ،وشابها غموض حول كيفية تورط الحرس السوري."	لم يصرح المسؤولون عما إذا كانت القوات الأمريكية عبرت الحدود الى الأراضي السورية ،وشابها غموض عن كيفية تورط حرس الحدود السوري .	4.0
3	تستعر المعركة حول فيريساين على خدمة الموقع المكتشف منذ ثلاثة أسابيع .	أدخلت شركة فيري ساين خدمتها لموقع المستكشف في 15 سبتمبر.	1.75
4	تم وضع دروس الليلة الماضية في غرفة العزل في السجن نفسه .	قالت أن دروس مازال محتجزا في السجن، وهو الآن في غرفة العزل .	4.5
5	أصيبت اميلي ، البالغة من العمر51 عاما ، بالسارس ،عندما كانت تعمل كممرضة في المستشفى العام نورث يورك، مركز تفشي المرض الثاني.	توفي أول العاملين في مجال الرعاية الصحية في البلاد بمرض سارس  وهو فلبيني كندي ،الذي أصيب بهذا المرض في المستشفى العام نورث يورك، الموقع الثاني من حيث انتشار المرض .	3.25
6	وقد استسلم قائدهم، أبو بكر الأزدي، في يونيو؛ حيث قتل نائبه في تبادل لإطلاق النار مع القوات السعودية في الآونة الأخيرة.	وقد سلم زعيمهم، أبو بكر الأزدي، نفسه في شهر حزيران. حيث قتل نائبه في تبادل لإطلاق النار في الآونة الأخيرة مع القوات السعودية .	5.0
7	أجل ملك مقاطعة المحكمة العليا القاضي تشارلز ملتر عقد المحاكمة، حتى يوم الإثنين.	بعد البيان الافتتاحي فريتاس، أجل ملك مقاطعة المحكمة العليا القاضي تشارلز مرتل عقد المحاكمة إلى ما بعد عطلة عيد الشكر.	3.0
8	داعمو جوجل في مراحلها الأولى هم :جامعة ستانفورد ومقرها كاليفورنيا، الشركات الرأسمالية كلينر بيركنز وسيكويا كابيتال .	نوهت  الصحيفة  أن مسثمري جوجل هي مؤسسات رأسمالية بارزة منها : كلينر بيركنز كوفيلد ، بايرز وسيكويا كابيتال.	2.8
9	طغت الاحتفالات والتجمعات بمناسبة الذكرى السادسة لعودة هونج كونج إلى الصين، في 1 يوليو عام 1997.	الأول من يوليو هو الذكرى السادسة لعودة هونغ كونغ إلى الحكم الصيني.	2.667
10	أعلنت شركة النخيل يوم الأربعاء أنها تعتزم شراء شركة هاندسبرينغ ، الشركة التي تم إنشاؤها من قبل المنشق بالم المؤسس المشارك جيف هوكينز.	أعلنت شركة النخيل  الأربعاء عن خطط للحصول على هاندسبرينغ وهي شركة شقت طريقها عن طريق جيف هوكينز، الذي يعتبره الكثيرون الأب لشركة بالم .	4.0
11	حكم يوم الجمعة على المهندس المعماري الكوبي  بالسجن 20 عاما لاستخدام قنبلتين يدويتين وهميتين لخطف طائرة ركاب  كانت متجهة من كوبا إلى فلوريدا في شهر ابريل.	حكم  يوم الجمعة ،على الرجل المتهم باستخدام قنابل وهمية للاستيلاء على طائرة كوبية سقطت في كي ويست في أبريل ، بالسجن لمدة 20 عاما	4.4
12	قال : أنا لا أريد أن أكون راعيا لها ، ذلك لأنها ليست من اقتراحنا ، ولكن من جهة أخرى   لن أرد عليها بطريقة سلبية .	لا أريد أن أكون راعيا لها ، ذلك لأنها ليست من اقتراحنا ، ولكن  لن أكون  سلبيا حيالها.	4.4
