id	sentence_1	sentence_2	similarity
0	একজন ব্যক্তি একটি বেসবল দলে আছে।	একজন ব্যক্তি একটি বাস্কেটবল দলে খেলছে।	2.4
1	আমাদের বর্তমান যানবাহন জাদুঘরে থাকবে যখন প্রত্যেকের নিজস্ব বিমান থাকবে।	গাড়ীটার কিছু কাজ করানো প্রয়োজন।	0.2
2	একজন নারী সুপারভাইজার পুরুষ শ্রমিককে নির্দেশ করছেন।	একজন মহিলা একজন নার্স হিসেবে কাজ করছে।	1.0
3	দুজন মহিলার পাশে একটি সাইকেল আছে।	একটি সাইকেল পাশে একটি শিশু আছে।	2.0
4	একটি উত্তেজনাপূর্ণ দৃশ্যে গ্রহণ করার সময় দলটি খাচ্ছে।	মানুষের একটি দল একটি অস্বাভাবিক বৃক্ষ দেখছে।	2.2
5	ছেলেটি তার হাত উত্থাপন করছে।	লোকটি তার হাত উত্থাপন করছে।	3.4
6	একটি ধূসর দাড়িওয়ালা লোককে একটি বক্তৃতা হলের সামনে শেভ করানো হচ্ছে।	দাড়ি সহ একজন লোক ঘাসে বসে আছে।	0.8
7	আকাশে খুব কম মেঘ।	এই মহিলাটি মনেহয় পর্বত আহরণে অথবা শুধুমাত্র উপরে মেঘ দেখার জন্য প্রস্তুত।	0.4
8	যুবক ছেলেটি খালি পায়ে সামনে আঙিনায় লাফালাফি করে।	ছেলেটি আঙ্গিনাতে হাঁটা মানুষের চারপাশে তার সাইকেল চড়েছিল।	0.4
9	বনে কুকুর আছে	কুকুরটি বনে একা 	4.0
10	কিছু সাইকেল এর চালক একটি সংকেতের কাছাকাছি থামে।	দুইজন মানুষ বাইরে একটি সংকেতের কাছাকাছি কথা বলতে থামে।	3.4
11	এই রাধুনিগুলো তাদের ক্রেতাদের জন্য রান্নাঘরে রাতের খাবার রান্না করার কাজে ব্যস্ত।	মেয়েরা তাদের রান্নাঘরে রাতের খাবার রান্না করার প্রস্তুতি নিচ্ছে।	3.0
12	একটি তরুণ ব্যক্তি গভীর চিন্তায় আছে।	একটি যুবক গভীর চিন্তায় আছে।	4.6
13	একজন মানুষ একটি কুকুর নিয়ে ডিঙি নৌকা চালাছে।	একটি কুকুর একটি মানুষ নিয়ে ডিঙি নৌকা চালাছে।	1.8
14	একজন মানুষ শ্রম সম্পাদন করছে।	একটি মানুষ আজ অভিনয় করছে।	2.8
15	ঐতিহ্যবাহী পোশাক পরা দুটি পুরুষ বাইরে দাঁড়িয়ে আছেন।	কালো ফতুয়া এবং ধূসর শার্ট পরা তিনটি মহিলা একটি বিল্ডিং এর বাইরে কথা বলছেন।	2.0
16	একজন মহিলা সরাসরি র‍্যাপ দেখছে।	একজন দর্শক একটি মেয়ের নাচ দেখে।	2.2
17	একটি বালির সৈকত উপর একটি মেয়ে নাচছে	একটি বালুকাময় সমুদ্র সৈকতে একটি মেয়ে আছে।	3.6
18	একটি মাছ ধরার নৌকায়  একটি ধুসর টুপি পরিহিত মানুষ মাছ ধরছে।	একটি স্টিমারে টুপি এবং মাছ ধরার জ্যাকেট পরা একটি মানুষ আছে।	2.6
19	কমলা ডোরাকাটা জামা পড়া একটি  ছোট মেয়ে বিছানায় লাফিয়ে বাঁশি বাজাচ্ছে।	একটি লাল জামা পড়া কুকুর কাচের ভিতর দিয়ে একটি কাঠবিড়ালকে তাড়া করছে।	0.2
20	পাহাড় থেকে নিচে স্কি করা মানুষদেরকে একজন দেখছে	মহিলাটি অনেক দূর লাফাল যখন মানুষ গুলো তাকে দেখছিল।	1.4
21	বাগানের একটি কুকুর আছে	কুকুরটি অন্য কুকুরের পিছনে দৌড়াচ্ছে।	1.6
22	মহিলা লেবুর সরবত পান করছে এবং টি.ভি. দেখছে	মানুটি বসে কফি পান করছে।	0.4
23	তিন মহিলা রান্না করে	দুই মহিলা রান্না করছে।	3.2
24	মহিলাটি একটি বিড়ালের পাশে হাঁটু গেড়ে আছে।	একটি মেয়ে একটি মানুষের পাশে দাঁড়িয়েছে।	0.2
25	তরুণ প্রাপ্তবয়স্করা শান্ত হয়	এশিয়ান শিশুরা একটি কুকুররে সঙ্গে খেলা করছে।	0.2
26	তিনজন মানুষ বাস্কেটবলের একটি প্রস্তুতি খেলা খেলছে	দুইজন মানুষ বেসবল খেলছে।	2.4
