id	sentence_1	sentence_2	similarity	entailment
1	A gente faz o aporte financeiro, é como se a empresa fosse parceira do Monte Cristo.	Fernando Moraes afirma que não tem vínculo com o Monte Cristo além da parceira.	2.0	None
2	Em 2013, a história de como Walt Disney convenceu P.L.	P.L.Travers era completamente contra a adaptação de Walt Disney.	2.25	None
3	David Silva bateu escanteio, Kompany escalou as costas de Chiellini e o zagueiro marcou contra.	David Silva cobrou escanteio, o zagueiro se apoiou em Chiellini e cabeceou.	3.75	None
4	Para os ambientalistas, as metas anunciadas pela presidente Dilma foram um avanço.	Dilma aproveitou seu discurso ontem, na Conferência de Desenvolvimento Sustentável pós-2015 para anunciar desde já essas metas.	2.75	None
5	De acordo com a PM, por volta das 10h30 havia 2 mil militantes no local.	O protesto encerrou por volta de 12h15 (horário local).	2.0	None
6	A programação entra em cartaz nesta quinta-feira (24) e segue até a próxima quarta-feira (30).	A animação “Hotel Transilvânia 2” entra em cartaz nos cinemas da Paraíba nesta quinta-feira (24).	3.0	None
7	Claudia Leitte, porém, ainda não escolheu o ajudante.	Somente Claudia Leitte não concordou plenamente com o colega.	2.25	None
8	As informações são da Superintendência de Trânsito e Transporte de Salvador (Transalvador).	Ainda segundo a Transalvador, não há informações sobre o estado de saúde dela.	2.0	None
9	Os sintomas da zika vírus, dengue e febre chikungunyia, são parecidos.	Foram registrados 316 casos suspeitos de Febre Chikungunya.	2.25	None
10	Tenho orgulho de ter feito parte da construção do PSOL.	Ajudei a construir o PSOL, e disso muito me orgulho.	5.0	Paraphrase
11	O caminho de ajuste via aumento de carga tributária é muito mal visto pela sociedade e pelo Congresso.	O aumento da carga tributária também não é visto com bons olhos pelo congresso.	4.0	Entailment
12	O técnico René Simões deixou o comando técnico do Figueirense após a derrota na noite desta última quarta-feira.	A derrota para o Avaí no clássico do Estádio Orlando Scarpelli derrubou René Simões no comando técnico do Figueirense.	3.75	None
13	Randolfe tem uma reunião com Marina Silva na tarde desta segunda (28), em Brasília.	Nesta segunda-feira, 28, Randolfe Rodrigues se reúne com Marina Silva.	4.0	Entailment
14	Em abril, a Lenovo já tinha encerrado a fabricação de TVs da marca CCE.	A fabricante chinesa Lenovo não é mais dona da brasileira CCE.	2.5	None
15	A jurisdição especial contará com salas de justiça e um tribunal para a paz.	Acertamos uma jurisdição especial para a paz.	3.0	None
16	O filme chega aos cinemas brasileiros no dia 17 de março de 2016.	Filme está marcado para 2016, com a segunda parte no ano seguinte.	2.5	None
17	Nós representamos mais de 100 mil servidores.	As duas fundações empregam pouco mais de 330 servidores.	2.25	None
18	Os profissionais selecionados preencherão vagas ociosas, principalmente por desistência.	Neste novo edital de reposição, 323 municípios poderão preencher 410 vagas ociosas.	2.0	None
